plot_install_year,target_stand,region_symbol,thinning_intensity,species,marker_label,regional_forest_service,long,lat
2012,bPk,북부04,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부04<br/>thinning_intensity: a무간벌<br/>,aNorth,127.8526388890001,37.801380556000026
2012,bPk,북부04,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부04<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.85227222200001,37.80147500000004
2012,bPk,북부04,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부04<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.85271388900003,37.80164444400003
2012,bPk,북부05,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부05<br/>thinning_intensity: a무간벌<br/>,aNorth,127.84999592700001,37.826333300000044
2012,bPk,북부05,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부05<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.85133902300004,37.82678973800006
2012,bPk,북부05,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부05<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.85081339300007,37.82665476100004
2012,bPk,북부15,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부15<br/>thinning_intensity: a무간벌<br/>,aNorth,127.80285555600005,37.64236111100007
2012,bPk,북부15,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부15<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.80160296500003,37.64237118600005
2012,bPk,북부15,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부15<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.80238333300008,37.64233888900003
2012,bPk,북부16,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부16<br/>thinning_intensity: a무간벌<br/>,aNorth,128.0037694440001,37.84251666700004
2012,bPk,북부16,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부16<br/>thinning_intensity: b약도간벌<br/>,aNorth,128.00419722200002,37.84300555600004
2012,bPk,북부16,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부16<br/>thinning_intensity: c강도간벌<br/>,aNorth,128.00356944400005,37.84275555600004
2012,bPk,북부02,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부02<br/>thinning_intensity: a무간벌<br/>,aNorth,127.8124166670001,37.79940000000005
2012,bPk,북부02,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부02<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.81320833300003,37.79899166700005
2012,bPk,북부02,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부02<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.81308055600005,37.799088889000075
2012,bPk,북부06,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부06<br/>thinning_intensity: a무간벌<br/>,aNorth,127.79910277800002,37.799666667000054
2012,bPk,북부06,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부06<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.79910277800002,37.79947222200008
2012,bPk,북부06,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부06<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.79975833300011,37.79942222200003
2012,bPk,북부07,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부07<br/>thinning_intensity: a무간벌<br/>,aNorth,127.80736666700011,37.79683611100006
2012,bPk,북부07,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부07<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.80806471200003,37.79681060200005
2012,bPk,북부07,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부07<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.80757475600001,37.796640584000045
2012,bPk,북부13,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부13<br/>thinning_intensity: a무간벌<br/>,aNorth,127.87072222200004,37.88500000000005
2012,bPk,북부13,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부13<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.87036111100008,37.88516666700008
2012,bPk,북부13,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부13<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.87036111100008,37.88480555600006
2012,bPk,북부14,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부14<br/>thinning_intensity: a무간벌<br/>,aNorth,127.8536944440001,37.841138889000035
2012,bPk,북부14,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부14<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.85333333300002,37.84102777800007
2012,bPk,북부14,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부14<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.85333333300002,37.84095000000008
2012,bPk,북부08,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부08<br/>thinning_intensity: a무간벌<br/>,aNorth,127.73207777800008,37.50836944400004
2012,bPk,북부08,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부08<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.73243611100008,37.50853333300006
2012,bPk,북부08,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부08<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.73259118600004,37.50818568900007
