experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,geometry,species,marker_label,regional_forest_service
a소나무림_2020_북부02,a소나무림,1,2020,b약도간벌,북부02,42,5,28,28.5,15.6,17.4,16.9,462,530.5,0.51,29.5,223.8,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부02,a소나무림,1,2020,c강도간벌,북부02,42,5,29,29.3,16,17.2,16.8,462,546.1,0.52,31.2,237.9,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부03,a소나무림,1,2020,a무간벌,북부03,23,3,19.5,19.7,10.4,13,20.5,790,614.7,0.59,24,131.5,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부03,a소나무림,1,2020,b약도간벌,북부03,23,3,18.8,19,12.5,14.3,22.5,1216,914.4,0.88,34.6,228.2,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부03,a소나무림,1,2020,c강도간벌,북부03,23,3,18.3,18.5,11.8,13.8,21.8,975,711.9,0.68,26.2,170.3,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부04,a소나무림,1,2020,a무간벌,북부04,18,2,11.5,11.9,10.3,13.7,28.8,1396,640.8,0.62,15.5,108.1,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부04,a소나무림,1,2020,b약도간벌,북부04,18,2,14.5,15,9.8,12.6,26.5,1796,1053.5,1.01,31.8,200.2,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부04,a소나무림,1,2020,c강도간벌,북부04,18,2,13,13.4,9.5,12.4,26.2,716,372.8,0.36,10.1,62.3,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부05,a소나무림,1,2020,a무간벌,북부05,15,2,7.5,7.6,4.3,5.1,13.8,657,190.1,0.18,3,20.9,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부05,a소나무림,1,2020,b약도간벌,북부05,15,2,8.5,8.7,6.1,7.7,20.6,1143,378.2,0.36,6.8,46.1,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부05,a소나무림,1,2020,c강도간벌,북부05,15,2,8,8.1,6,7.4,19.9,519,160.6,0.15,2.7,19.3,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부06,a소나무림,1,2020,a무간벌,북부06,43,5,26.9,27.4,16.7,18.7,18,297,326.4,0.31,17.5,137,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부06,a소나무림,1,2020,b약도간벌,북부06,43,5,31,31.3,16.2,17.5,16.8,348,440,0.42,26.8,207.7,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부06,a소나무림,1,2020,c강도간벌,북부06,43,5,32.7,33.3,16.7,17.8,17.1,225,303.7,0.29,19.6,154.5,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부07,a소나무림,1,2020,a무간벌,북부07,8,1,6.2,1.2,4.4,4.5,33.1,2481,105,0.1,0.3,2.8,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부07,a소나무림,1,2020,b약도간벌,북부07,8,1,7.2,3.4,5.2,6,43.8,1594,198.2,0.19,1.5,11.6,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부07,a소나무림,1,2020,c강도간벌,북부07,8,1,6.7,3.7,4.8,5.9,43.2,1771,239.9,0.23,1.9,16.3,NA,NA,list(),NA,NA,aNorth
b잣나무림_2012_북부01,b잣나무림,1,2012,a무간벌,북부01,77,8,38.2,38.9,24,26.5,20.5,499,854.2,0.78,59.4,713.9,0.34,1.26,list(),NA,NA,aNorth
b잣나무림_2012_북부01,b잣나무림,1,2012,b약도간벌,북부01,77,8,40.1,40.4,20,21,18.1,353,632.4,0.58,45.3,446.5,0.71,1.63,list(),NA,NA,aNorth
b잣나무림_2012_북부01,b잣나무림,1,2012,c강도간벌,북부01,77,8,45.4,45.7,20.3,21.2,19.2,189,392.3,0.36,30.9,312.3,1.56,-2.32,list(),NA,NA,aNorth
b잣나무림_2012_북부02,b잣나무림,1,2012,a무간벌,북부02,76,8,37.8,38.4,22.1,24.8,19.2,402,676.3,0.62,46.5,508.2,-0.01,-3.04,list(),NA,NA,aNorth
b잣나무림_2012_북부02,b잣나무림,1,2012,b약도간벌,북부02,76,8,40.3,40.8,19.8,21.1,18.6,210,380.8,0.35,27.5,271.6,0.6,0.91,list(),NA,NA,aNorth
b잣나무림_2012_북부02,b잣나무림,1,2012,c강도간벌,북부02,76,8,44.9,45.2,19.7,21.2,19.3,219,449.8,0.41,35.2,354.7,0.72,1.13,list(),NA,NA,aNorth
b잣나무림_2012_북부03,b잣나무림,1,2012,a무간벌,북부03,52,6,27.5,28.1,21.9,24.2,20.7,701,807.9,0.74,43.5,474.8,0.83,0.71,list(),NA,NA,aNorth
b잣나무림_2012_북부03,b잣나무림,1,2012,b약도간벌,북부03,52,6,30.2,30.7,18.1,19.8,19.6,394,505.3,0.46,29.1,266.2,0.58,1.13,list(),NA,NA,aNorth
b잣나무림_2012_북부03,b잣나무림,1,2012,c강도간벌,북부03,52,6,32.6,32.9,18,19.9,20,337,470.5,0.43,28.7,267.8,0.66,1.17,list(),NA,NA,aNorth
b잣나무림_2012_북부04,b잣나무림,1,2012,a무간벌,북부04,52,6,29,29.4,18.3,18.9,17.7,549,667.4,0.61,37.2,333.1,0.73,1.96,list(),NA,NA,aNorth
b잣나무림_2012_북부04,b잣나무림,1,2012,b약도간벌,북부04,52,6,34.1,34.2,18.9,20.1,19.2,234,343.2,0.32,21.6,203.8,1.11,1.43,list(),NA,NA,aNorth
b잣나무림_2012_북부04,b잣나무림,1,2012,c강도간벌,북부04,52,6,32.6,32.9,18.2,19.9,18.6,262,366.7,0.34,22.4,208.9,1.03,1.44,list(),NA,NA,aNorth
b잣나무림_2012_북부05,b잣나무림,1,2012,a무간벌,북부05,29,3,17.4,18,13.1,14.8,19.8,1121,754.4,0.69,28.7,202.1,1.22,2.71,list(),NA,NA,aNorth
b잣나무림_2012_북부05,b잣나무림,1,2012,b약도간벌,북부05,29,3,18.3,18.7,12.5,15.9,18.8,969,681.7,0.63,26.7,195.3,1.2,3.72,list(),NA,NA,aNorth
b잣나무림_2012_북부05,b잣나무림,1,2012,c강도간벌,북부05,29,3,21.6,22.1,13.5,17.1,20.4,604,521.2,0.48,23.3,185.8,2.25,3.73,list(),NA,NA,aNorth
b잣나무림_2012_북부06,b잣나무림,1,2012,a무간벌,북부06,37,4,27.8,28,16.1,17.5,19.1,683,783,0.72,42,333.5,0.98,3.01,list(),NA,NA,aNorth
b잣나무림_2012_북부06,b잣나무림,1,2012,b약도간벌,북부06,37,4,27.5,27.9,17.1,19.1,20,671,766.4,0.7,41,361.3,1.26,3.91,list(),NA,NA,aNorth
b잣나무림_2012_북부06,b잣나무림,1,2012,c강도간벌,북부06,37,4,28.7,29.1,17.1,19.2,20.4,381,458.5,0.42,25.4,227.9,1.63,3.03,list(),NA,NA,aNorth
b잣나무림_2012_북부07,b잣나무림,1,2012,a무간벌,북부07,37,4,22.2,22.6,18,19.5,20.3,736,650,0.6,29.4,265.3,1.42,3.93,list(),NA,NA,aNorth
b잣나무림_2012_북부07,b잣나무림,1,2012,b약도간벌,북부07,37,4,25.4,25.7,18.3,20.5,20.9,622,644.1,0.59,32.3,301.1,1.16,3.05,list(),NA,NA,aNorth
b잣나무림_2012_북부07,b잣나무림,1,2012,c강도간벌,북부07,37,4,25.7,26.1,19.4,21.6,21.7,505,532.6,0.49,27.1,268.7,1.68,3.66,list(),NA,NA,aNorth
b잣나무림_2012_북부08,b잣나무림,1,2012,a무간벌,북부08,16,2,12.9,13.1,9.5,10.6,26.1,1487,678.7,0.62,20.1,110.1,2.29,8.72,list(),NA,NA,aNorth
b잣나무림_2012_북부08,b잣나무림,1,2012,b약도간벌,북부08,16,2,14.2,15.7,9.9,11.9,26.5,645,365.7,0.34,12.4,90.7,3.5,5.8,list(),NA,NA,aNorth
b잣나무림_2012_북부08,b잣나무림,1,2012,c강도간벌,북부08,16,2,14.7,16.1,10.1,13.1,28.1,605,354.9,0.33,12.3,89.8,2.94,4.71,list(),NA,NA,aNorth
b잣나무림_2012_북부09,b잣나무림,1,2012,a무간벌,북부09,39,4,15.7,16.3,14,16.5,15.8,1711,1016.8,0.93,35.6,267,0.99,4.72,list(),NA,NA,aNorth
b잣나무림_2012_북부09,b잣나무림,1,2012,b약도간벌,북부09,39,4,16.1,17,12.3,16.7,16.4,1513,949,0.87,34.4,249.2,1.05,4.13,list(),NA,NA,aNorth
b잣나무림_2012_북부09,b잣나무림,1,2012,c강도간벌,북부09,39,4,20.8,21.3,13.5,16.8,15.9,562,463,0.43,20.1,157.8,1.9,3.72,list(),NA,NA,aNorth
b잣나무림_2012_북부10,b잣나무림,1,2012,a무간벌,북부10,69,7,38.2,39.5,21,23.6,19.1,383,667.5,0.61,46.9,496.2,0.49,1.28,list(),NA,NA,aNorth
b잣나무림_2012_북부10,b잣나무림,1,2012,b약도간벌,북부10,69,7,35.9,36.5,18.8,20.7,17,447,706.7,0.65,46.7,449.8,0.48,1.16,list(),NA,NA,aNorth
b잣나무림_2012_북부10,b잣나무림,1,2012,c강도간벌,북부10,69,7,40,40.6,19.6,21.1,19.3,257,463.3,0.43,33.3,328.6,1.28,2.18,list(),NA,NA,aNorth
b잣나무림_2012_북부11,b잣나무림,1,2012,a무간벌,북부11,38,4,19.2,20.4,14.5,18.2,20.2,1259,983,0.9,41.1,335.4,3.08,-1.25,list(),NA,NA,aNorth
b잣나무림_2012_북부11,b잣나무림,1,2012,b약도간벌,북부11,38,4,23.1,23.6,14.6,17.9,20.2,949,883,0.81,41.4,339.4,1.07,3.15,list(),NA,NA,aNorth
b잣나무림_2012_북부11,b잣나무림,1,2012,c강도간벌,북부11,38,4,27.6,28,14.7,18.6,20.5,483,555.1,0.51,29.8,263.7,1.66,3.69,list(),NA,NA,aNorth
b잣나무림_2012_북부12,b잣나무림,1,2012,a무간벌,북부12,26,3,18.7,19.1,10.9,12.1,17.9,1231,887.6,0.82,35.3,202.3,0.85,5.47,list(),NA,NA,aNorth
b잣나무림_2012_북부12,b잣나무림,1,2012,b약도간벌,북부12,26,3,15.1,15.7,8.8,11.1,17.2,1103,627.8,0.58,21.4,113.4,1.24,3.71,list(),NA,NA,aNorth
b잣나무림_2012_북부12,b잣나무림,1,2012,c강도간벌,북부12,26,3,18.6,19.8,11.5,15.2,19.8,790,595.4,0.55,24.3,189.2,1.29,3.25,list(),NA,NA,aNorth
b잣나무림_2012_북부13,b잣나무림,1,2012,a무간벌,북부13,52,6,23.7,24.3,20,22.5,18.9,1543,1493.8,1.37,71.8,715,0.6,0.54,list(),NA,NA,aNorth
b잣나무림_2012_북부13,b잣나무림,1,2012,b약도간벌,북부13,52,6,24.2,25.1,16.1,19.1,16.6,1289,1294.6,1.19,63.7,543.9,1.13,0.15,list(),NA,NA,aNorth
b잣나무림_2012_북부13,b잣나무림,1,2012,c강도간벌,북부13,52,6,19.6,20.4,14.2,17.8,15.3,1753,1372.1,1.26,57.5,449.7,1.13,3.58,list(),NA,NA,aNorth
b잣나무림_2012_북부14,b잣나무림,1,2012,a무간벌,북부14,38,4,27.2,27.6,14.7,16.5,17.5,686,774,0.71,41.1,300.8,0.87,2.69,list(),NA,NA,aNorth
b잣나무림_2012_북부14,b잣나무림,1,2012,b약도간벌,북부14,38,4,30.7,30.9,17.2,19.2,19.5,485,628.8,0.58,36.5,314,1.43,3.5,list(),NA,NA,aNorth
b잣나무림_2012_북부14,b잣나무림,1,2012,c강도간벌,북부14,38,4,30.7,31,17.2,19.3,19.6,315,409.2,0.38,23.8,197.6,1.9,3.02,list(),NA,NA,aNorth
b잣나무림_2012_북부15,b잣나무림,1,2012,a무간벌,북부15,32,4,18.5,18.8,14.1,15.5,18.4,999,706,0.65,27.7,198.5,1.65,4.99,list(),NA,NA,aNorth
b잣나무림_2012_북부15,b잣나무림,1,2012,b약도간벌,북부15,32,4,21.4,21.5,14.5,16.6,18.9,651,543.6,0.5,23.7,184.4,1.32,3,list(),NA,NA,aNorth
b잣나무림_2012_북부15,b잣나무림,1,2012,c강도간벌,북부15,32,4,23.4,23.6,15.5,17.4,20.1,348,323.8,0.3,15.2,123.3,2.18,2.97,list(),NA,NA,aNorth
b잣나무림_2012_북부16,b잣나무림,1,2012,a무간벌,북부16,38,4,24.1,24.4,18.8,20,19.9,705,683.9,0.63,32.9,304.4,1.45,4.13,list(),NA,NA,aNorth
b잣나무림_2012_북부16,b잣나무림,1,2012,b약도간벌,북부16,38,4,23.8,24,15.6,17.8,18.3,447,426,0.39,20.3,166.8,1.51,2.59,list(),NA,NA,aNorth
b잣나무림_2012_북부16,b잣나무림,1,2012,c강도간벌,북부16,38,4,27.3,27.5,16.2,18.7,20.5,324,363.8,0.33,19.2,168,1.69,2.56,list(),NA,NA,aNorth
b잣나무림_2014_남부01,b잣나무림,1,2014,a무간벌,남부01,30,3,19,19.5,11.9,13.1,16.8,2155,1592.5,1.46,64.3,398.3,1.3,7.36,list(),NA,NA,cSouth
b잣나무림_2014_남부01,b잣나무림,1,2014,b약도간벌,남부01,30,3,20.7,21.1,14.2,16.9,18.4,1266,1028.6,0.94,44.1,343.3,1.31,5.93,list(),NA,NA,cSouth
b잣나무림_2014_남부01,b잣나무림,1,2014,c강도간벌,남부01,30,3,21.7,22,13.5,16.8,18.8,717,614.4,0.56,27.3,215.8,2.03,4.27,list(),NA,NA,cSouth
b잣나무림_2014_남부02,b잣나무림,1,2014,a무간벌,남부02,32,4,20,20.5,15.8,17.4,21.3,858,674.5,0.62,28.3,229.3,1.1,3.14,list(),NA,NA,cSouth
b잣나무림_2014_남부02,b잣나무림,1,2014,b약도간벌,남부02,32,4,18.3,19.1,12.7,15.8,18.5,946,683.5,0.63,27.2,205.2,0.6,2.9,list(),NA,NA,cSouth
b잣나무림_2014_남부02,b잣나무림,1,2014,c강도간벌,남부02,32,4,23.4,23.6,15.1,17.5,20.7,502,468.3,0.43,22,179.1,1.98,3.86,list(),NA,NA,cSouth
b잣나무림_2014_남부03,b잣나무림,1,2014,a무간벌,남부03,37,4,28.2,28.5,17.4,18.9,19.9,537,628.5,0.58,34.2,295.8,1.91,4.85,list(),NA,NA,cSouth
b잣나무림_2014_남부03,b잣나무림,1,2014,b약도간벌,남부03,37,4,26.7,27.1,17,18.9,19.5,372,409.1,0.38,21.4,186,2.05,3.3,list(),NA,NA,cSouth
b잣나무림_2014_남부03,b잣나무림,1,2014,c강도간벌,남부03,37,4,27.2,27.6,15.9,19,19.4,264,297.9,0.27,15.8,139.3,2.11,2.54,list(),NA,NA,cSouth
b잣나무림_2014_남부04,b잣나무림,1,2014,a무간벌,남부04,31,4,24.6,25.6,14.4,17.2,20.8,540,555.7,0.51,27.8,211,1.72,2.49,list(),NA,NA,cSouth
b잣나무림_2014_남부04,b잣나무림,1,2014,b약도간벌,남부04,31,4,25.1,25.8,15.6,17.9,20.5,645,668.8,0.61,33.6,288.2,1.61,4.63,list(),NA,NA,cSouth
b잣나무림_2014_남부04,b잣나무림,1,2014,c강도간벌,남부04,31,4,25.4,25.9,16,17.9,20.2,376,392.5,0.36,19.8,169.6,2.14,3.34,list(),NA,NA,cSouth
b잣나무림_2014_남부05,b잣나무림,1,2014,a무간벌,남부05,20,2,11.8,12,7.4,8.7,17.3,1443,589.1,0.54,16.2,74.5,2.34,7.06,list(),NA,NA,cSouth
b잣나무림_2014_남부05,b잣나무림,1,2014,b약도간벌,남부05,20,2,10.7,10.9,8,10.4,18.1,1088,395,0.36,10.1,55.5,2.68,5.67,list(),NA,NA,cSouth
b잣나무림_2014_남부05,b잣나무림,1,2014,c강도간벌,남부05,20,2,12.1,12.2,9.2,11.4,20.4,669,281.1,0.26,7.9,45.2,3.56,5.27,list(),NA,NA,cSouth
b잣나무림_2014_남부06,b잣나무림,1,2014,a무간벌,남부06,24,3,17.1,17.3,10.7,11.8,18.8,760,485,0.45,17.8,101.5,2.88,5.61,list(),NA,NA,cSouth
b잣나무림_2014_남부06,b잣나무림,1,2014,b약도간벌,남부06,24,3,16,16.2,12,14,19.9,792,467.6,0.43,16.3,108.2,2.29,4.59,list(),NA,NA,cSouth
b잣나무림_2014_남부06,b잣나무림,1,2014,c강도간벌,남부06,24,3,17.4,17.6,12.8,14.9,21.7,532,347.9,0.32,13,90.6,2.52,3.66,list(),NA,NA,cSouth
b잣나무림_2014_남부07,b잣나무림,1,2014,a무간벌,남부07,31,4,25.2,25.6,13.5,14.5,18.2,501,515.2,0.47,25.7,175.9,2.9,4.28,list(),NA,NA,cSouth
b잣나무림_2014_남부07,b잣나무림,1,2014,b약도간벌,남부07,31,4,25.4,25.6,16.5,18.3,19.1,351,361,0.33,18,152.7,2.78,4.19,list(),NA,NA,cSouth
b잣나무림_2014_남부07,b잣나무림,1,2014,c강도간벌,남부07,31,4,22.4,22.7,15.2,17.2,18.8,420,373.5,0.34,17,135.9,3.12,4.99,list(),NA,NA,cSouth
b잣나무림_2014_남부08,b잣나무림,1,2014,a무간벌,남부08,37,4,21.3,21.7,16.6,18.6,19.1,1224,1029.6,0.95,45.2,380.1,1.07,4.78,list(),NA,NA,cSouth
b잣나무림_2014_남부08,b잣나무림,1,2014,b약도간벌,남부08,37,4,19.7,20.1,13.5,16.4,18.5,1139,872.5,0.8,36,272,1.17,3.74,list(),NA,NA,cSouth
b잣나무림_2014_남부08,b잣나무림,1,2014,c강도간벌,남부08,37,4,21.2,21.6,13.9,17.1,18.1,946,794.6,0.73,34.8,274.8,0.99,3.39,list(),NA,NA,cSouth
b잣나무림_2014_남부09,b잣나무림,1,2014,a무간벌,남부09,40,4,22.5,23.4,15.8,18.1,18.2,924,852.4,0.78,39.7,331.6,0.99,0.31,list(),NA,NA,cSouth
b잣나무림_2014_남부09,b잣나무림,1,2014,b약도간벌,남부09,40,4,25.1,25.6,15.9,18.7,17.6,692,711.8,0.65,35.6,303.2,0.58,1.69,list(),NA,NA,cSouth
b잣나무림_2014_남부09,b잣나무림,1,2014,c강도간벌,남부09,40,4,28.8,29.2,16.5,19.2,18.2,457,552.9,0.51,30.7,275.8,0.62,1.35,list(),NA,NA,cSouth
b잣나무림_2014_남부10,b잣나무림,1,2014,a무간벌,남부10,15,2,9.9,10,6.5,7.5,22.6,1836,606.3,0.56,14.5,67,2.64,8.91,list(),NA,NA,cSouth
b잣나무림_2014_남부10,b잣나무림,1,2014,b약도간벌,남부10,15,2,10.8,11,7.8,10.4,27.7,1195,441,0.4,11.4,63.1,3.46,8.39,list(),NA,NA,cSouth
b잣나무림_2014_남부10,b잣나무림,1,2014,c강도간벌,남부10,15,2,11.9,12,8.9,10.9,28.3,914,375.2,0.34,10.4,58.6,4.02,8.18,list(),NA,NA,cSouth
b잣나무림_2014_남부11,b잣나무림,1,2014,a무간벌,남부11,15,2,9.5,9.8,5.2,6.2,20.4,1312,419.4,0.39,9.8,40.5,3.83,9.21,list(),NA,NA,cSouth
b잣나무림_2014_남부11,b잣나무림,1,2014,b약도간벌,남부11,15,2,9.8,10.3,7.5,9.8,24.7,973,331.3,0.3,8.1,47.1,3.96,7.07,list(),NA,NA,cSouth
b잣나무림_2014_남부11,b잣나무림,1,2014,c강도간벌,남부11,15,2,10.8,10.9,8.1,9.9,25.1,977,356.5,0.33,9.1,49.8,4.2,7.98,list(),NA,NA,cSouth
b잣나무림_2014_남부12,b잣나무림,1,2014,a무간벌,남부12,35,4,28.1,28.8,15.7,17.7,19.4,745,883.6,0.81,48.4,385.7,0.96,3.51,list(),NA,NA,cSouth
b잣나무림_2014_남부12,b잣나무림,1,2014,b약도간벌,남부12,35,4,29.1,29.2,17.9,19,20.4,374,451.4,0.41,25,223.7,1.7,3,list(),NA,NA,cSouth
b잣나무림_2014_남부12,b잣나무림,1,2014,c강도간벌,남부12,35,4,30.2,30.3,17.5,19.3,21.3,315,398.1,0.37,22.7,206.2,1.84,1.95,list(),NA,NA,cSouth
b잣나무림_2014_남부13,b잣나무림,1,2014,a무간벌,남부13,74,8,41.2,42.2,21.1,24.3,18.8,379,715.7,0.66,53,560.7,0.82,1.97,list(),NA,NA,cSouth
b잣나무림_2014_남부13,b잣나무림,1,2014,b약도간벌,남부13,74,8,36.6,37.9,19.2,21,18.1,462,764.5,0.7,52,506.8,0.98,2.75,list(),NA,NA,cSouth
b잣나무림_2014_남부13,b잣나무림,1,2014,c강도간벌,남부13,74,8,43.9,44.4,20.5,21.2,19.5,287,576.5,0.53,44.5,446.6,1.54,3.12,list(),NA,NA,cSouth
b잣나무림_2014_남부14,b잣나무림,1,2014,a무간벌,남부14,66,7,33.2,34.2,17.3,20,16,702,1028.6,0.94,64.7,567.1,0.72,2.87,list(),NA,NA,cSouth
b잣나무림_2014_남부14,b잣나무림,1,2014,b약도간벌,남부14,66,7,41,41.7,17.9,21.2,15.7,346,644.5,0.59,47.3,469.8,1.25,2.96,list(),NA,NA,cSouth
b잣나무림_2014_남부14,b잣나무림,1,2014,c강도간벌,남부14,66,7,37.2,37.7,18.6,20.6,15.3,371,610.1,0.56,41.3,401.3,1,2.24,list(),NA,NA,cSouth
b잣나무림_2014_남부15,b잣나무림,1,2014,a무간벌,남부15,29,3,18,18.4,13,14.1,18.6,1477,1015.7,0.93,39.1,265.7,1.27,5.06,list(),NA,NA,cSouth
b잣나무림_2014_남부15,b잣나무림,1,2014,b약도간벌,남부15,29,3,21.3,21.7,15,17,20.6,992,834.9,0.77,36.7,288,1.79,6.52,list(),NA,NA,cSouth
b잣나무림_2014_남부15,b잣나무림,1,2014,c강도간벌,남부15,29,3,21,21.3,15,17.2,20.3,1045,862.5,0.79,37.4,291.5,1.99,6.1,list(),NA,NA,cSouth
b잣나무림_2014_동부01,b잣나무림,1,2014,a무간벌,동부01,39,4,29.8,30.1,17.1,18.2,18.3,469,587.2,0.54,33.3,280.6,1.35,3.08,list(),NA,NA,bEast
b잣나무림_2014_동부01,b잣나무림,1,2014,b약도간벌,동부01,39,4,30.3,30.6,17.9,19.7,19.8,552,705.9,0.65,40.6,370.2,0.9,2.63,list(),NA,NA,bEast
b잣나무림_2014_동부01,b잣나무림,1,2014,c강도간벌,동부01,39,4,28.7,29,17.5,19,19.1,316,377.9,0.35,20.8,185.8,1.26,0.03,list(),NA,NA,bEast
b잣나무림_2014_동부02,b잣나무림,1,2014,a무간벌,동부02,37,4,24.2,25,15.3,17.3,18.3,884,884.6,0.81,43.5,340.7,NA,NA,list(),NA,NA,bEast
b잣나무림_2014_동부02,b잣나무림,1,2014,b약도간벌,동부02,37,4,23.5,24.2,15.5,18.5,19.7,774,742.7,0.68,35.5,297.4,NA,NA,list(),NA,NA,bEast
b잣나무림_2014_동부02,b잣나무림,1,2014,c강도간벌,동부02,37,4,26.5,26.8,15.8,18.6,19.7,491,534.8,0.49,27.8,240.7,NA,NA,list(),NA,NA,bEast
b잣나무림_2014_동부03,b잣나무림,1,2014,a무간벌,동부03,41,5,27.7,28.4,19.5,22.2,21.9,679,791.2,0.73,42.9,419.3,0.75,2.36,list(),NA,NA,bEast
b잣나무림_2014_동부03,b잣나무림,1,2014,b약도간벌,동부03,41,5,29.2,29.5,17,19.3,19.8,360,440.4,0.4,24.6,221.7,1,1.77,list(),NA,NA,bEast
b잣나무림_2014_동부03,b잣나무림,1,2014,c강도간벌,동부03,41,5,30.5,30.9,16.6,19.4,20.3,253,327.4,0.3,19,173.5,1.29,1.64,list(),NA,NA,bEast
b잣나무림_2014_동부04,b잣나무림,1,2014,a무간벌,동부04,32,4,34.4,34.8,18.9,20.5,23.6,356,530.7,0.49,33.8,313.4,0.53,-1.73,list(),NA,NA,bEast
b잣나무림_2014_동부04,b잣나무림,1,2014,b약도간벌,동부04,32,4,35.3,35.6,19.3,20.5,24.6,326,500.6,0.46,32.5,310.4,1.21,0.44,list(),NA,NA,bEast
b잣나무림_2014_동부04,b잣나무림,1,2014,c강도간벌,동부04,32,4,34.7,35,19.1,20.3,24.2,228,342.5,0.31,21.9,208.3,2.09,2.71,list(),NA,NA,bEast
b잣나무림_2014_동부05,b잣나무림,1,2014,a무간벌,동부05,39,4,29.8,30.3,18.7,19.8,20.4,505,637.6,0.59,36.4,335.8,1.35,3.38,list(),NA,NA,bEast
b잣나무림_2014_동부05,b잣나무림,1,2014,b약도간벌,동부05,39,4,29.4,29.6,17.8,19.2,20.3,416,511.2,0.47,28.7,257.9,1.77,3.53,list(),NA,NA,bEast
b잣나무림_2014_동부05,b잣나무림,1,2014,c강도간벌,동부05,39,4,30.8,31,18.2,19.5,19.8,288,374.8,0.34,21.8,199.5,2.21,3.22,list(),NA,NA,bEast
b잣나무림_2014_동부06,b잣나무림,1,2014,a무간벌,동부06,34,4,19.1,19.7,13.3,15.8,17.8,678,509.2,0.47,20.8,146.4,1.22,1.76,list(),NA,NA,bEast
b잣나무림_2014_동부06,b잣나무림,1,2014,b약도간벌,동부06,34,4,20,20.4,14.6,17,17.8,852,667,0.61,27.9,214.2,0.9,2.71,list(),NA,NA,bEast
b잣나무림_2014_동부06,b잣나무림,1,2014,c강도간벌,동부06,34,4,17.6,18.1,13.4,16.3,16.9,1052,712.3,0.65,27.2,197.3,0.73,2.92,list(),NA,NA,bEast
b잣나무림_2014_동부07,b잣나무림,1,2014,a무간벌,동부07,73,8,40.3,40.4,20.9,22.7,17.7,381,681.6,0.63,48.8,499.5,0.85,-2.06,list(),NA,NA,bEast
b잣나무림_2014_동부07,b잣나무림,1,2014,b약도간벌,동부07,73,8,39,39.3,20.1,20.8,17.2,397,686.9,0.63,48.1,471.5,1,2.48,list(),NA,NA,bEast
b잣나무림_2014_동부07,b잣나무림,1,2014,c강도간벌,동부07,73,8,41.3,41.8,20.3,21.2,17.4,367,685,0.63,50.4,500.7,0.66,1.64,list(),NA,NA,bEast
b잣나무림_2014_동부08,b잣나무림,1,2014,a무간벌,동부08,45,5,26.9,28.2,17,19.9,18.5,790,913.4,0.84,49.3,436.4,1.91,3.1,list(),NA,NA,bEast
b잣나무림_2014_동부08,b잣나무림,1,2014,b약도간벌,동부08,45,5,25.9,26.9,17.2,19.8,18.2,687,751.9,0.69,39.1,344.3,1.12,2.59,list(),NA,NA,bEast
b잣나무림_2014_동부08,b잣나무림,1,2014,c강도간벌,동부08,45,5,27.8,28.7,18.1,20.3,18.4,492,583.3,0.54,32,287.4,0.58,2.31,list(),NA,NA,bEast
b잣나무림_2014_동부09,b잣나무림,1,2014,a무간벌,동부09,34,4,26.2,26.5,14.2,16.7,19,381,408.1,0.37,21,148,1.48,2.5,list(),NA,NA,bEast
b잣나무림_2014_동부09,b잣나무림,1,2014,b약도간벌,동부09,34,4,26.3,26.6,16.6,18.7,18.9,475,510.7,0.47,26.3,226.3,1.19,2.42,list(),NA,NA,bEast
b잣나무림_2014_동부09,b잣나무림,1,2014,c강도간벌,동부09,34,4,26.1,26.3,16.3,18.3,20.1,402,426.9,0.39,21.8,186.5,2.16,2.93,list(),NA,NA,bEast
b잣나무림_2014_동부10,b잣나무림,1,2014,a무간벌,동부10,31,4,20,20.5,12.3,14.7,18.9,720,566.7,0.52,23.8,157.8,2.03,4.98,list(),NA,NA,bEast
b잣나무림_2014_동부10,b잣나무림,1,2014,b약도간벌,동부10,31,4,22.7,22.8,15.6,17.3,20.3,544,487.2,0.45,22.3,178.4,1.66,3.39,list(),NA,NA,bEast
b잣나무림_2014_동부10,b잣나무림,1,2014,c강도간벌,동부10,31,4,20.3,20.4,14.5,16.2,19.5,318,247.9,0.23,10.4,77.8,1.7,1.81,list(),NA,NA,bEast
